,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
278,MC,2020-02-14,1,0,1,0,0
279,MD,2020-02-14,11,11,0,0,0
280,ML,2020-02-14,0,0,0,0,0
281,NC,2020-02-14,0,0,0,0,0
282,PV,2020-02-14,0,0,0,0,0
283,RI,2020-02-14,0,0,0,0,0
284,VC,2020-02-14,2,2,0,0,0
285,AN,2020-02-15,4,1,3,0,0
286,AR,2020-02-15,0,0,0,0,0
287,AS,2020-02-15,0,0,0,0,0
288,CB,2020-02-15,0,0,0,0,0
289,CE,2020-02-15,0,0,0,0,0
290,CL,2020-02-15,0,0,0,0,0
291,CM,2020-02-15,0,0,0,0,0
292,CN,2020-02-15,0,0,0,0,0
293,CT,2020-02-15,10,10,0,0,0
294,EX,2020-02-15,2,1,1,0,0
295,GA,2020-02-15,0,0,0,0,0
296,IB,2020-02-15,0,0,0,0,0
297,MC,2020-02-15,0,0,0,0,0
298,MD,2020-02-15,13,13,0,0,0
299,ML,2020-02-15,0,0,0,0,0
300,NC,2020-02-15,0,0,0,0,0
301,PV,2020-02-15,3,3,0,0,0
302,RI,2020-02-15,0,0,0,0,0
303,VC,2020-02-15,4,4,0,0,0
304,AN,2020-02-16,0,0,0,0,0
305,AR,2020-02-16,1,1,0,0,0
306,AS,2020-02-16,0,0,0,0,0
307,CB,2020-02-16,0,0,0,0,0
308,CE,2020-02-16,0,0,0,0,0
309,CL,2020-02-16,0,0,0,0,0
310,CM,2020-02-16,0,0,0,0,0
311,CN,2020-02-16,2,2,0,0,0
312,CT,2020-02-16,5,4,0,0,1
313,EX,2020-02-16,0,0,0,0,0
314,GA,2020-02-16,1,1,0,0,0
315,IB,2020-02-16,0,0,0,0,0
316,MC,2020-02-16,0,0,0,0,0
317,MD,2020-02-16,15,15,0,0,0
318,ML,2020-02-16,0,0,0,0,0
319,NC,2020-02-16,0,0,0,0,0
320,PV,2020-02-16,1,1,0,0,0
321,RI,2020-02-16,0,0,0,0,0
322,VC,2020-02-16,1,1,0,0,0
323,AN,2020-02-17,2,0,2,0,0
324,AR,2020-02-17,1,1,0,0,0
325,AS,2020-02-17,0,0,0,0,0
326,CB,2020-02-17,0,0,0,0,0
327,CE,2020-02-17,0,0,0,0,0
328,CL,2020-02-17,0,0,0,0,0
329,CM,2020-02-17,0,0,0,0,0
330,CN,2020-02-17,0,0,0,0,0
331,CT,2020-02-17,2,1,0,0,1
332,EX,2020-02-17,1,0,1,0,0
333,GA,2020-02-17,0,0,0,0,0
334,IB,2020-02-17,0,0,0,0,0
335,MC,2020-02-17,3,0,3,0,0
336,MD,2020-02-17,19,19,0,0,0
337,ML,2020-02-17,0,0,0,0,0
338,NC,2020-02-17,0,0,0,0,0
339,PV,2020-02-17,2,2,0,0,0
340,RI,2020-02-17,0,0,0,0,0
341,VC,2020-02-17,6,3,3,0,0
342,AN,2020-02-18,3,3,0,0,0
343,AR,2020-02-18,1,1,0,0,0
344,AS,2020-02-18,0,0,0,0,0
345,CB,2020-02-18,0,0,0,0,0
346,CE,2020-02-18,0,0,0,0,0
347,CL,2020-02-18,1,1,0,0,0
348,CM,2020-02-18,0,0,0,0,0
349,CN,2020-02-18,1,1,0,0,0
350,CT,2020-02-18,5,5,0,0,0
351,EX,2020-02-18,0,0,0,0,0
352,GA,2020-02-18,1,1,0,0,0
353,IB,2020-02-18,0,0,0,0,0
354,MC,2020-02-18,1,0,1,0,0
355,MD,2020-02-18,14,14,0,0,0
356,ML,2020-02-18,0,0,0,0,0
357,NC,2020-02-18,0,0,0,0,0
358,PV,2020-02-18,0,0,0,0,0
359,RI,2020-02-18,0,0,0,0,0
360,VC,2020-02-18,2,1,1,0,0
361,AN,2020-02-19,1,0,1,0,0
362,AR,2020-02-19,0,0,0,0,0
363,AS,2020-02-19,0,0,0,0,0
364,CB,2020-02-19,0,0,0,0,0
365,CE,2020-02-19,0,0,0,0,0
366,CL,2020-02-19,1,0,1,0,0
367,CM,2020-02-19,0,0,0,0,0
368,CN,2020-02-19,1,1,0,0,0
369,CT,2020-02-19,1,1,0,0,0
370,EX,2020-02-19,1,1,0,0,0
371,GA,2020-02-19,1,0,0,0,1
372,IB,2020-02-19,0,0,0,0,0
373,MC,2020-02-19,1,0,1,0,0
374,MD,2020-02-19,12,12,0,0,0
375,ML,2020-02-19,0,0,0,0,0
376,NC,2020-02-19,0,0,0,0,0
377,PV,2020-02-19,1,1,0,0,0
378,RI,2020-02-19,0,0,0,0,0
379,VC,2020-02-19,2,1,1,0,0
380,AN,2020-02-20,8,3,5,0,0
381,AR,2020-02-20,0,0,0,0,0
382,AS,2020-02-20,0,0,0,0,0
383,CB,2020-02-20,0,0,0,0,0
384,CE,2020-02-20,0,0,0,0,0
385,CL,2020-02-20,3,1,2,0,0
386,CM,2020-02-20,2,1,0,0,1
387,CN,2020-02-20,1,1,0,0,0
388,CT,2020-02-20,13,10,0,0,3
