,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad
60,ES-CB,2020-02-03,0,0,0,0,0,Cantabria,-1.0,2.0,16.0,3.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
61,ES-CE,2020-02-03,0,0,0,0,0,Ceuta,-9.0,-2.0,-8.0,-40.470588235294116,7.0,0.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
62,ES-CL,2020-02-03,1,0,1,0,0,Castilla y León,-1.0,1.0,15.0,4.0,5.0,-2.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
63,ES-CM,2020-02-03,0,0,0,0,0,Castilla - La Mancha,-2.0,0.0,5.0,3.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
64,ES-CN,2020-02-03,0,0,0,0,0,Canarias,-4.0,-3.0,-1.0,3.0,2.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
65,ES-CT,2020-02-03,3,2,0,0,1,Cataluña,0.0,1.0,9.0,3.0,2.0,0.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
66,ES-EX,2020-02-03,0,0,0,0,0,Extremadura,2.0,-1.0,21.0,4.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
67,ES-GA,2020-02-03,1,1,0,0,0,Galicia,2.0,0.0,21.0,2.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
68,ES-IB,2020-02-03,0,0,0,0,0,Illes Balears,1.0,2.0,6.0,10.0,5.0,0.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
69,ES-MC,2020-02-03,0,0,0,0,0,Murcia,-5.0,-1.0,-12.0,-1.0,3.0,1.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
70,ES-MD,2020-02-03,7,7,0,0,0,Comunidad de Madrid,-1.0,1.0,11.0,4.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
71,ES-ML,2020-02-03,0,0,0,0,0,Melilla,-4.0,-4.0,-2.0,1.5,2.0,0.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
72,ES-NC,2020-02-03,0,0,0,0,0,Comunidad Foral de Navarra,-1.0,0.0,8.0,-42.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
73,ES-PV,2020-02-03,0,0,0,0,0,País Vasco,-3.0,0.0,4.0,2.0,3.0,0.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
74,ES-RI,2020-02-03,1,1,0,0,0,La Rioja,-1.0,2.0,-1.0,-2.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
75,ES-VC,2020-02-03,5,1,3,0,1,Comunitat Valenciana,-6.0,-2.0,-11.0,-3.0,2.0,1.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
76,ES-AN,2020-02-04,1,0,1,0,0,Andalucía,0.0,0.0,7.0,6.0,3.0,0.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
77,ES-AR,2020-02-04,0,0,0,0,0,Aragón,0.0,7.0,23.0,5.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
78,ES-AS,2020-02-04,0,0,0,0,0,Principado de Asturias,2.0,1.0,29.0,8.0,5.0,-2.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
